Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
bon;pas de compte courant;48;aucun prêt antérieur;réparations;10 466,40 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;< 1 an;propriétaire d'un logement/terrain;48;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Test
mauvais;pas de compte courant;18;aucun prêt antérieur;mobilier;3 640,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;63;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;18;comptes courants à problèmes;mobilier;2 716,00 €;pas d'épargne;<1 an;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;banques concurrentes;propriétaire;1;cadre/profession libérale;Apprentissage
bon;>300€;6;remboursement intégral;mobilier;2 436,00 €;pas d'épargne;> 8 ans;25-35;marié/veuf;Homme;1-5 ans;aucun actif;28;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;mobilier;2 748,20 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;29;pas d'autres prêts en cours;à titre gracieux;02-avr;cadre/profession libérale;Test
bon;<= 300€;12;remboursement intégral;autre;2 072,00 €;140-700;sans emploi;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;64;banques concurrentes;propriétaire;05-juin;sans expérience et sans domicile fixe;Apprentissage
mauvais;>300€;24;aucun prêt antérieur;mobilier;5 069,40 €;<140;> 8 ans;25-35;célibataire;Homme;>8 ans;assurance vie;29;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;36;aucun prêt antérieur;autre;4 548,60 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;37;banques concurrentes;propriétaire;1;cadre/profession libérale;Test
bon;>300€;12;aucun prêt antérieur;mobilier;2 902,20 €;<140;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;18;remboursement intégral;véhicule d'occasion;2 543,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;propriétaire d'un logement/terrain;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;18;aucun prêt antérieur;autre;3 726,80 €;>1400;5-8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;<= 300€;4;aucun prêt antérieur;autre;2 091,60 €;>1400;<1 an;> 35;célibataire;Homme;1-5 ans;aucun actif;27;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;véhicule neuf;3 936,80 €;>1400;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;24;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;véhicule d'occasion;2 228,80 €;700-1400;5-8 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;véhicule;33;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;18;délicat;véhicule d'occasion;4 359,60 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;>8 ans;véhicule;24;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;6;aucun prêt antérieur;véhicule d'occasion;599,20 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;< 1 an;véhicule;47;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;60;aucun problème avec les prêts antérieurs;mobilier;21 914,20 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;>8 ans;assurance vie;19;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;4 529,00 €;140-700;> 8 ans;15- 25;divorcé/séparé;Homme;1-5 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;42;remboursement intégral;véhicule d'occasion;5 657,40 €;140-700;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;6;délicat;mobilier;596,40 €;pas d'épargne;> 8 ans;< 15;marié/veuf;Homme;>8 ans;assurance vie;37;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;véhicule d'occasion;4 194,40 €;>1400;1-5 ans;25-35;marié/veuf;Homme;>8 ans;assurance vie;18;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;15;aucun prêt antérieur;véhicule d'occasion;3 791,20 €;pas d'épargne;<1 an;25-35;célibataire;Homme;5-8 ans;véhicule;25;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;négligeable;10;comptes courants à problèmes;mobilier;1 467,20 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;21;grand magasin;locataire;1;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;24;comptes courants à problèmes;véhicule d'occasion;4 972,80 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;>8 ans;assurance vie;25;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun problème avec les prêts antérieurs;réorientation professionnelle;4 169,20 €;>1400;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;30;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;24;remboursement intégral;véhicule d'occasion;6 630,40 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;23;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;véhicule d'occasion;3 796,80 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;1-5 ans;véhicule;39;banques concurrentes;locataire;1;salarié expérimenté;Test
bon;négligeable;36;aucun prêt antérieur;véhicule neuf;9 727,20 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;33;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;>300€;15;remboursement intégral;mobilier;1 904,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;29;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;9;remboursement intégral;véhicule d'occasion;3 368,40 €;pas d'épargne;sans emploi;25-35;célibataire;Homme;5-8 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
bon;>300€;15;aucun problème avec les prêts antérieurs;véhicule neuf;5 031,60 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;44;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
mauvais;négligeable;36;aucun prêt antérieur;mobilier;3 739,40 €;<140;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;48;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Test
bon;pas de compte courant;11;remboursement intégral;autre;5 467,00 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;34;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;comptes courants à problèmes;autre;1 670,20 €;pas d'épargne;sans emploi;> 35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience et sans domicile fixe;Apprentissage
bon;>300€;9;aucun prêt antérieur;réorientation professionnelle;2 028,60 €;pas d'épargne;5-8 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;mobilier;2 634,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;23;banques concurrentes;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;9;aucun prêt antérieur;véhicule d'occasion;2 772,00 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;18;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;<= 300€;6;aucun problème avec les prêts antérieurs;mobilier;956,20 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;< 1 an;véhicule;27;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;comptes courants à problèmes;véhicule d'occasion;3 476,20 €;140-700;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;20;grand magasin;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;18;aucun prêt antérieur;véhicule d'occasion;5 110,00 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;21;aucun prêt antérieur;autre;5 268,20 €;>1400;5-8 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;22;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;<= 300€;12;aucun prêt antérieur;autre;1 862,00 €;pas d'épargne;<1 an;< 15;célibataire;Homme;< 1 an;aucun actif;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;>300€;36;aucun problème avec les prêts antérieurs;réorientation professionnelle;11 172,00 €;>1400;<1 an;< 15;célibataire;Homme;>8 ans;assurance vie;25;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;réparations;981,40 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;30;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;24;aucun problème avec les prêts antérieurs;autre;3 553,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;45;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;12;remboursement intégral;autre;3 312,40 €;140-700;5-8 ans;15- 25;divorcé/séparé;Homme;5-8 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;24;remboursement intégral;mobilier;4 020,80 €;<140;> 8 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;véhicule neuf;4 740,40 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;33;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;6;comptes courants à problèmes;autre;1 303,40 €;<140;<1 an;> 35;divorcé/séparé/marié;Femme;< 1 an;véhicule;30;grand magasin;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;20;aucun problème avec les prêts antérieurs;création d'entreprise;3 680,60 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;5-8 ans;assurance vie;27;banques concurrentes;locataire;02-avr;salarié expérimenté;Test
mauvais;pas de compte courant;18;aucun prêt antérieur;mobilier;4 466,00 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;18;aucun prêt antérieur;réparations;1 734,60 €;>1400;1-5 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;59;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;48;aucun prêt antérieur;réorientation professionnelle;6 031,20 €;pas d'épargne;<1 an;15- 25;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;<= 300€;42;remboursement intégral;véhicule neuf;6 714,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;54;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;>300€;9;aucun prêt antérieur;véhicule d'occasion;3 221,40 €;<140;<1 an;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;60;aucun prêt antérieur;réorientation professionnelle;10 215,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;8;remboursement intégral;autre;998,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;45;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;12;comptes courants à problèmes;vacances;4 825,80 €;140-700;1-5 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;33;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;mobilier;3 337,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;62;banques concurrentes;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;20;remboursement intégral;véhicule d'occasion;5 980,80 €;pas d'épargne;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;autre;5 111,40 €;700-1400;1-5 ans;> 35;célibataire;Homme;5-8 ans;véhicule;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;<= 300€;18;aucun prêt antérieur;véhicule d'occasion;4 268,60 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;< 1 an;véhicule;43;grand magasin;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;18;remboursement intégral;réorientation professionnelle;2 641,80 €;>1400;1-5 ans;< 15;marié/veuf;Homme;>8 ans;aucun actif;26;banques concurrentes;locataire;02-avr;salarié expérimenté;Test
bon;>300€;15;remboursement intégral;véhicule d'occasion;3 903,20 €;pas d'épargne;5-8 ans;25-35;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;22;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;11;remboursement intégral;mobilier;1 615,60 €;<140;sans emploi;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;55;pas d'autres prêts en cours;locataire;05-juin;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;9;aucun prêt antérieur;réparations;1 678,60 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;65;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;24;aucun prêt antérieur;mobilier;4 802,00 €;140-700;> 8 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;2 317,00 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;>8 ans;aucun actif;61;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
mauvais;négligeable;18;aucun problème avec les prêts antérieurs;véhicule d'occasion;6 015,80 €;pas d'épargne;> 8 ans;< 15;divorcé/séparé;Homme;5-8 ans;propriétaire d'un logement/terrain;38;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
bon;négligeable;60;aucun problème avec les prêts antérieurs;mobilier;10 385,20 €;>1400;1-5 ans;> 35;célibataire;Homme;< 1 an;aucun actif;25;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;18;aucun prêt antérieur;mobilier;6 431,60 €;pas d'épargne;<1 an;15- 25;célibataire;Homme;1-5 ans;assurance vie;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;10;remboursement intégral;autre;1 723,40 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;30;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;pas de compte courant;15;aucun prêt antérieur;autre;1 964,20 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;26;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;6;remboursement intégral;véhicule d'occasion;2 620,80 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;pas d'autres prêts en cours;propriétaire;05-juin;cadre/profession libérale;Apprentissage
mauvais;négligeable;6;aucun prêt antérieur;autre;20 377,00 €;>1400;sans emploi;> 35;célibataire;Homme;1-5 ans;véhicule;21;pas d'autres prêts en cours;locataire;1;sans expérience et sans domicile fixe;Apprentissage
mauvais;pas de compte courant;12;comptes courants à problèmes;mobilier;3 008,60 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé;Homme;< 1 an;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
